Affix	Abv.	Degree 1	Degree 2	Degree 3	Degree 4	Degree 5	Degree 6	Degree 7	Degree 8	Degree 9	Type	Description
fm	VEL	too slow(ly)	very slow(ly)	slow(ly)	somewhat slow(ly)	at just the right velocity	somewhat fast/somewhat quick(ly)/somewhat rapid(ly)	fast/quick(ly)/rapid(ly), at fast pace	very fast/very quick(ly)/very rapid(ly)/, at fast pace	too fast	D2	Degree of Velocity (=Ratio of Distance to Time)
fp	P13	interior movement through right+ahead	movement inside right+ahead	movement into right+ahead	movement along right+ahead	movement across right+ahead	right+ahead	movement out of right+ahead	movement outside right+ahead	exterior movement alongside right+ahead	D1	Position at +X / +Y / 0
fpw	P22	interior movement through right+ahead+below	movement inside right+ahead+below	movement into right+ahead+below	movement along right+ahead+below	movement across right+ahead+below	right+ahead+below	movement out of right+ahead+below	movement outside right+ahead+below	exterior movement alongside right+ahead+below	D1	Position at +X / +Y / -Z
fpy	P21	interior movement through right+ahead+above	movement inside right+ahead+above	movement into right+ahead+above	movement along right+ahead+above	movement across right+ahead+above	right+ahead+above	movement out of right+ahead+above	movement outside right+ahead+above	exterior movement alongside right+ahead+above	D1	Position at +X / +Y / +Z
fr	M05	interior perlative [anti₂]parallel movement	interior [anti₂]parallel movement	entering [anti₂]parallel movement	continuous course [anti₂]parallel movement	[anti₂]parallel movement across	onward [anti₂]parallel movement	exiting [anti₂]parallel movement	exterior [anti₂]parallel movement	exterior perlative [anti₂]parallel movement	D1	Parallel translative motion
fř	SHP	having the 2D shape of X	somewhat or sort of like the 2D shape of X	2D figure/outline of X	2D mold/“stamp” of X	X-patterned/patterned after X	3D mold/cast of X	3D figure/outline of X	somewhat or sort of like the 3D shape of X	having the 3D shape of X	C	Shape or Form
fs	ATI	tend/be prone to	be prepared/ready to	promise/swear to	look forward to	free/available to	anticipate/expect that/to	intend/plan on/to	(be) face(d with)	be predisposed/destined to	0	Anticipatory modalities
fš	MLR	formal theory explaining/coordinating X	plan explaining/coordinating X	idea explaining/coordinating X	folk theory or accepted societal convention explaining/coordinating X	illustration/picture/graphic representation explaining/coordinating X	physical model explaining/coordinating X	mathematical model explaining/coordinating X	logical model explaining/coordinating X	metaphorical representation of X	0	Meta-level representation/coordination/analysis
ft	POR	smallest possible portion/section/amount	extremely small portion/section/amount	small portion/section/amount	somewhat small portion/section/amount	portion/section/amount of a larger whole	significantly-sized portion/section/amount	~half-sized portion/section/amount	majority-sized portion/section/amount	almost the entire portion/amount	D1	Portion or Section
fţ	EFI	making things worse/disastrous	accomplishing nothing/making a mess of it	wasteful/accomplishing little	somewhat wasteful	adequate (in terms of efficiency)	rather efficient	efficient	extremely efficient	a synergy/sum beyond total of parts of	D1	Degree of Efficiency
fw	P16	interior movement through right+below	movement inside right+below	movement into right+below	movement along right+below	movement across right+below	right+below	movement out of right+below	movement outside right+below	exterior movement alongside right+below	D1	Position at +X / 0 / -Z
fx	CFD	too meek/submissive/obedient	very meek/submissive/obedient	meek/submissive/obedient	somewhat meek/submissive/obedient	properly humble/properly forthright ; with proper degree of humility or forthrightness	somewhat confident/strong	confident/strong/authoritative	very confident/strong/authoritative	too confident/strong/authoritative	D2	Degree of Forthrightness, Confidence or Humility
fy	P15	interior movement through right+above	movement inside right+above	movement into right+above	movement along right+above	movement across right+above	right+above	movement out of right+above	movement outside right+above	exterior movement alongside right+above	D1	Position at +X / 0 / +Z
fẓ	LOA	(in) candelas	(in) candle-powers	(in) lumens	(in) foot-candles	(in) lux	(in) nits	(in) talbots	(in) rayleighs	(in) lux seconds	0	Luminance & Optics A
g	EXN	not at all	hardly at all	to a small degree	to a somewhat small degree /somewhat	to a moderate or average degree/to a fair degree	to a somewhat large degree/fairly much/more so than not	to a large degree	very much so/decidedly so/to a very large degree	to the exclusion of all else/without consideration for anything else	D1	Degree or Extent
gc	EMA	(in) amperes	(in) franklins	(in) volts	(in) farads	(in) coulombs	(in) unit poles	(in) webers	(in) maxwells	(in) henrys	0	Electro-Magnetic Measurement A
gč	EMB	(in) ohms	(in) ampere-turns	(in) siemens (or mhos)	(in) gilberts	(in) teslas	(in) nepers	(in) darafs	(in) oersteds (amperes per meter)	(in) ohm meters	0	Electro-Magnetic Measurement B
gç	NCE	NRM/FNC	RPV/FNC	G/RPV/FNC	NRM/RPS	RPV/RPS	G/RPV/RPS	NRM/AMG	RPV/AMG	P/RPV/AMG	B	Non-Default Context + Essence (+ POLYADIC Perspective)
gd	SEN	surreal	nonsensical/silly/absurd	weird/odd	somewhat odd/off-kilter	normal/typical/sensible	somewhat stilted/rehearsed-seeming/predictable	stilted/predictable	like a parody/caricature	like clockwork	D1	Degree of Sensibleness/Predictability
gj	SNC	Propositional - assertion based on ontologogical fact	Epistemic - assertion based on conventional (culturally agreed-upon) fact	Allegative - allegation expressing one’s belief, subject to rubuttal or refutation	Imputative - rebuttable presumption (i.e., to be assumed true until proven otherwise)	Refutative - rebuttal/refutation based on epistemic knowledge	Rebutative - rebuttal/refutation based on ontological fact	Conjectural - conjecture/theory/hypothesis that is testable/verifiable	Expatiative - conjecture/theory/hypothesis that is not presumably testable/verifiable	Axiomatic - conclusive presumption not rationally debatable	0	Sanction
gl	M08	interior perlative 2D horizontal movement	interior 2D horizontal movement	entering 2D horizontal movement	continuous course 2D horizontal movement	2D horizontal movement across	onward 2D horizontal movement	exiting 2D horizontal movement	exterior 2D horizontal movement	exterior perlative 2D horizontal movement	D1	Horizontal-planar range of motion
gm	SUD	too slow/long, overdue	very slow/long	slow/long	somewhat slow/long	just the right amount of time	somewhat quick/rapid	fast/rapid	very fast/quick/sudden	too fast/quick/sudden	D2	Degree of Suddenness
gn	CZE	from the Cenozoic Era	from the Paleocene epoch	from the Eocene epoch	from the Oligocene epoch	from the Miocene epoch	from the Pliocene epoch	from the Pleistocene epoch	from the Holocene epoch	from the Anthropocene epoch	D1	Cenozoic Era
gr	M07	interior perlative oblique approach₁/receding₂	interior oblique approach₁/receding₂	entering oblique approach₁/receding₂	continuous course oblique approach₁/receding₂	oblique approach₁/receding₂ across	onward oblique approach₁/receding₂	exiting oblique approach₁/receding₂	exterior oblique approach₁/receding₂	exterior oblique perlative approach₁/receding₂	D1	Oblique lateral translative motion
gř	SEP	logical connectedness only (spatial)	loosely integrated spatially	somewhat loosely integrated spatially	well-integrated spatially	both spatially and temporally well-integrated	well-integrated temporally	somewhat loosely integrated temporally	loosely integrated temporally	logical connectedness only (temporal)	C	Spatio-Temporal Separability of a Configurative Set
